Name	Age	Nat	St	Tk	Ps	Sh	Ag	KAb	TAb	PAb	SAb		Team
M_Streller	31	swi	2	8	11	13	14	64	301	501	515	#	FCBasel1893
A_Frei	33	swi	2	7	9	14	12	54	104	281	568	#	FCBasel1893
D_Van_Buyten	34	bel	2	15	12	7	9	60	594	445	247	#	FCBayernMunich
D_Alaba	20	aut	2	15	12	6	14	70	574	376	197	#	FCBayernMunich
X_Shaqiri	20	swi	2	13	15	8	16	70	409	531	293	#	FCBayernMunich*
E_Can	18	ger	2	9	13	9	8	70	289	359	279	#	FCBayernMunich*
M_Weiser	19	ger	2	10	11	10	11	70	289	359	284	#	FCBayernMunich*
P_Hojbjerg	17	den	2	10	11	9	10	70	289	359	279	#	FCBayernMunich*
Mariano	26	bra	2	14	11	5	13	60	602	410	208	#	GirondinsdeBordeaux
L_Obraniak	27	pol	2	9	15	10	12	60	347	592	450	#	GirondinsdeBordeaux
Andre_Almeida	21	por	2	13	10	7	10	68	415	285	209	#	SLBenfica
Roderick	22	por	3	12	11	8	12	68	355	275	210	#	SLBenfica
Rodrigo	21	spa	2	7	9	14	12	58	245	426	503	#	SLBenfica*
P_Aimar	32	arg	2	9	15	12	13	58	247	519	316	#	SLBenfica
Luisao	31	bra	2	16	12	4	13	68	513	397	103	#	SLBenfica
A_McGregor	32	sco	13	2	5	3	10	305	60	110	100	#	BesiktasJK
J_Escude	34	fra	2	12	10	8	11	60	460	280	214	#	BesiktasJK
I_Koybasi	24	tur	2	13	11	7	10	60	600	464	293	#	BesiktasJK
F_Holosko	30	slo	2	6	10	14	10	60	170	411	535	#	BesiktasJK
C_Ankergren	32	den	12	3	4	4	10	311	158	193	183	#	Brighton&Hove
I_Calderon	30	spa	2	11	10	9	14	86	407	384	249	#	Brighton&Hove
W_Hoskins	26	eng	2	6	10	12	15	86	247	424	554	#	Brighton&Hove
T_Agdestein	20	nor	2	6	8	11	12	86	203	253	363	#	Brighton&Hove
Raul	24	spa	11	2	4	4	11	731	60	110	100	#	AthleticoBilbao
A_Laporte	18	fra	2	13	10	8	10	60	577	395	333	#	AthleticoBilbao*
R_Galarreta	18	spa	2	10	12	7	10	60	255	315	150	#	AthleticoBilbao*
C_Gurpegi	31	spa	2	11	14	8	10	60	430	517	307	#	AthleticoBilbao
W_Elliott	33	eng	3	9	13	11	14	96	346	451	356	#	BirminghamCity
H_Mullins	33	eng	3	11	13	9	14	96	436	516	431	#	BirminghamCity
A_Rooney	24	ire	2	6	10	11	13	96	266	361	421	#	BirminghamCity
S_Crainey	31	sco	2	12	9	4	8	86	441	289	213	#	Blackpool
T_Ince	20	eng	2	9	14	12	15	86	399	609	594	#	Blackpool
C_Sutherland	25	sco	2	5	9	11	12	86	223	353	412	#	Blackpool
A_Noguera	22	spa	2	7	11	10	13	86	253	374	318	#	Blackpool
G_Bruna	21	arg	2	7	11	9	17	86	258	363	308	#	Blackpool
G_Givet	30	fra	2	14	12	7	10	96	623	602	274	#	BlackburnRovers
S_Dann	25	eng	2	14	12	9	11	96	725	588	456	#	BlackburnRovers
G_Hanley	20	sco	3	11	10	8	14	96	401	341	218	#	BlackburnRovers*
A_Henley	18	wal	2	11	10	6	12	96	386	331	226	#	BlackburnRovers*
F_Nunes	20	por	2	9	10	8	13	96	281	346	236	#	BlackburnRovers*
P_Jorge	19	por	2	8	10	7	13	96	241	346	226	#	BlackburnRovers*
D_Dunn	32	eng	4	9	14	11	10	106	369	570	410	#	BlackburnRovers
J_King	20	nor	2	6	10	12	15	96	216	371	443	#	BlackburnRovers*
J_Riley	20	eng	2	10	9	5	13	96	381	286	221	#	BoltonWanderers
K_Andrews	31	eng	3	11	13	9	14	96	374	496	331	#	BoltonWanderers
C_Davies	26	wal	2	7	10	12	11	96	314	363	445	#	BoltonWanderers
P_Owomoyela	32	ger	2	14	10	7	13	68	588	380	274	#	BorussiaDortmund
S_Kehl	32	ger	2	12	14	9	13	68	420	502	295	#	BorussiaDortmund
M_Leitner	19	ger	2	11	14	8	11	68	344	468	255	#	BorussiaDortmund*
M_Amini	19	aus	2	9	12	8	12	68	235	280	215	#	BorussiaDortmund*
M_Bakalorz	22	ger	2	8	11	8	10	68	210	280	215	#	BorussiaDortmund
L_Bittencourt	18	ger	2	6	11	10	16	68	170	315	275	#	BorussiaDortmund*
Cristiano	21	por	12	2	3	4	12	315	60	70	100	#	SCBraga*
Nuno_Coelho	26	por	2	13	9	8	12	60	758	317	223	#	SCBraga
E_Rafael	26	por	2	12	10	7	14	60	390	282	185	#	SCBraga
Carlao	25	por	2	6	10	13	11	60	75	235	321	#	SCBraga
Rabiola	22	por	2	6	10	12	10	60	100	225	270	#	SCBraga
Manoel	23	por	2	6	9	11	15	60	100	205	270	#	SCBraga
Alan	32	bra	2	6	12	14	12	50	170	465	535	#	SCBraga
B_Buysse	25	bel	2	12	10	8	10	66	366	266	206	#	KVClubBrugge
J_Vanstenkite	19	bel	2	10	9	8	12	66	281	231	211	#	KVClubBrugge*
T_van_Acker	20	bel	2	10	12	8	10	66	306	411	258	#	KVClubBrugge*
C_Bacca	25	col	2	8	11	13	11	66	233	298	371	#	KVClubBrugge
B_Vleminckx	26	bel	2	8	11	13	11	66	218	318	408	#	KVClubBrugge
Z_Badoyan	23	arm	2	8	11	8	11	64	212	287	207	#	BATEBorisov
M_Duff	34	nir	2	11	10	8	13	86	461	300	215	#	Burnley
J_Shackell	29	eng	3	13	10	8	14	96	578	399	282	#	Burnley
R_Wallace	27	sco	2	10	14	10	11	86	401	507	415	#	Burnley
M_Bartley	26	jam	2	9	11	7	13	86	343	422	282	#	Burnley
B_Stock	31	wal	2	9	11	7	11	86	351	374	263	#	Burnley
C_Austin	23	eng	2	6	13	14	14	76	207	386	473	#	Burnley
M_Paterson	25	ire	3	9	11	12	10	86	346	414	424	#	Burnley
B_Nugent	18	eng	2	11	9	6	13	86	359	304	202	#	CardiffCity*
A_Oshilaja	20	eng	2	10	9	6	13	86	313	263	198	#	CardiffCity*
L_Coulson	19	eng	2	10	8	5	13	86	313	233	193	#	CardiffCity*
F_Kiss	21	ice	2	8	11	7	17	86	278	363	248	#	CardiffCity
C_Conway	27	sco	3	9	13	11	14	86	337	475	330	#	CardiffCity
S_McPhail	32	ire	2	9	11	7	13	86	308	363	258	#	CardiffCity
T_O'Sullivan	18	wal	2	6	10	7	13	86	203	348	243	#	CardiffCity*
T_Wharton	18	wal	2	8	9	6	14	86	233	288	208	#	CardiffCity*
T_Smith	32	eng	3	9	12	12	12	86	327	429	426	#	CardiffCity
R_Healey	18	wal	2	4	8	11	9	86	158	248	348	#	CardiffCity*
C_Bellamy	33	wal	2	6	11	13	15	76	208	411	542	#	CardiffCity
N_Jarvis	22	wal	2	4	8	11	11	86	158	248	353	#	CardiffCity
J_Irvine	18	sco	2	10	9	8	11	64	277	212	207	#	Celtic*
M_Fraser	18	sco	2	10	9	8	13	64	287	222	207	#	Celtic*
G_Samaras	27	gre	2	8	13	11	14	64	254	595	414	#	Celtic
P_McCourt	28	eng	2	10	12	9	12	64	272	342	222	#	Celtic*
D_McGeouch	19	sco	2	10	11	9	10	64	272	297	222	#	Celtic*
P_George	19	ire	2	8	11	10	11	64	207	292	232	#	Celtic*
F_Twardzik	19	cze	2	8	11	10	12	64	202	297	232	#	Celtic*
P_Twardzik	19	cze	2	9	11	10	12	64	222	297	232	#	Celtic*
C_McGregor	19	sco	2	9	10	7	12	64	222	272	162	#	Celtic*
M_Bangura	24	sie	2	5	10	11	9	64	137	282	347	#	Celtic
B_Atajic	20	bos	2	6	9	11	12	64	162	242	352	#	Celtic*
J_Sullivan	25	eng	12	2	4	3	10	285	120	150	140	#	CharltonAthletic
M_Morrison	24	eng	2	12	9	5	10	80	497	379	176	#	CharltonAthletic
S_Ajayi	18	eng	2	9	8	7	13	80	321	268	243	#	CharltonAthletic*
S_Kerkar	25	fra	2	6	10	9	12	80	200	251	255	#	CharltonAthletic
B_Pritchard	26	zim	2	9	10	6	14	80	250	245	205	#	CharltonAthletic*
C_Harriott	19	eng	2	7	9	8	9	80	238	321	263	#	CharltonAthletic*
Y_Kermorgant	30	fra	2	7	10	12	12	80	338	505	577	#	CharltonAthletic
D_Jensen	33	den	2	9	12	10	10	64	222	352	252	#	FCCopenhagen
S_Fredriksen	23	den	2	10	12	8	10	64	272	342	207	#	FCCopenhagen
Y_Toutouh	20	den	2	9	12	10	13	64	227	347	257	#	FCCopenhagen
P_Diouf	26	sen	2	10	12	9	12	64	272	342	222	#	FCCopenhagen
J_Stewart	30	eng	2	11	9	7	13	70	498	301	275	#	CoventryCity
G_McSheffrey	30	eng	2	7	11	9	14	70	245	469	319	#	CoventryCity
L_Clarke	27	eng	2	6	9	12	15	70	152	298	484	#	CoventryCity
M_Veloso	27	por	2	12	14	8	11	64	528	695	375	#	DinamoKiev
O_Husyev	30	ukr	2	10	15	10	11	64	400	841	450	#	DinamoKiev
A_Yarmolenko	23	ukr	2	6	13	15	12	64	103	445	784	#	DinamoKiev
Y_Chebrachko	29	ukr	2	13	10	6	12	60	587	428	209	#	DniproDnipropetrovsk
Douglas	22	bra	2	13	11	7	12	60	572	457	264	#	DniproDnipropetrovsk
Matheus	29	bra	2	6	10	14	9	60	105	322	507	#	DniproDnipropetrovsk
V_Granat	25	rus	2	12	10	7	11	60	432	309	128	#	DinamoMoscow
I_Solovyov	19	rus	2	7	10	9	11	60	165	275	230	#	DinamoMoscow*
I_Semshov	34	rus	2	10	15	9	14	70	450	857	476	#	DinamoMoscow
A_Voronin	32	ukr	2	6	12	15	13	50	204	535	828	#	DinamoMoscow
A_Panyukov	17	rus	2	6	10	12	14	60	140	287	312	#	DinamoMoscow*
A_Griffin	33	eng	2	11	9	7	13	70	524	369	281	#	DoncasterRovers
P_Keegan	28	ire	2	10	11	6	13	70	241	378	146	#	DoncasterRovers
J_Simunovic	18	cro	2	11	10	8	11	64	297	289	209	#	GNKDinamoZagreb*
J_Calusic	19	cro	2	11	10	7	11	64	292	262	174	#	GNKDinamoZagreb*
A_Bekic	24	bos	2	8	11	9	11	64	207	315	276	#	GNKDinamoZagreb
S_Husejinovic	25	bos	2	9	11	10	11	64	231	298	266	#	GNKDinamoZagreb
S_Ozturk	26	tur	2	10	12	9	12	66	276	346	226	#	FenerbahceSK
S_Ucan	18	tur	2	10	13	9	12	66	306	507	280	#	FenerbahceSK*
R_Niyaz	19	tur	2	8	11	10	12	66	206	301	236	#	FenerbahceSK*
B_Simsek	17	tur	2	6	10	11	13	66	166	291	356	#	FenerbahceSK*
S_van_Beek	18	hol	2	11	9	8	12	66	316	241	213	#	Feyenoord*
L_Woudenberg	18	hol	2	10	9	8	12	66	281	231	211	#	Feyenoord*
J_Clasie	21	hol	2	12	14	9	13	56	408	573	289	#	Feyenoord
J_P_Boetius	18	hol	2	8	12	13	11	66	220	396	434	#	Feyenoord*
A_Achahbar	18	hol	2	6	10	12	13	66	181	307	368	#	Feyenoord*
D_Pizzaro	32	chi	2	9	15	11	12	60	364	767	492	#	ACFFiorentina
A_Aquilani	27	ita	2	11	15	10	14	60	377	519	318	#	ACFFiorentina
J_Cuadrado	24	col	2	10	15	9	13	60	330	562	348	#	ACFFiorentina
P_Wolski	19	pol	2	9	13	11	10	60	250	345	312	#	ACFFiorentina*
A_Ljajic	20	ser	2	6	12	14	12	50	152	287	465	#	ACFFiorentina*
H_Seferovic	20	swi	2	7	10	12	10	60	140	200	225	#	ACFFiorentina*
B_Hangeland	31	nor	2	16	14	9	15	90	716	497	333	#	Fulham
A_Hughes	33	nir	2	14	13	6	13	90	570	447	214	#	Fulham
D_Duff	34	ire	2	8	15	14	12	90	301	554	407	#	Fulham
M_Diarra	31	sen	2	13	15	6	16	90	431	462	242	#	Fulham
K_Richardson	28	eng	2	8	15	12	18	90	332	598	404	#	Fulham
S_Davies	34	wal	2	8	13	11	12	90	275	441	388	#	Fulham
D_Berbatov	32	bul	2	5	15	15	11	90	194	456	611	#	Fulham
M_Petric	32	cro	2	6	12	13	12	90	235	456	501	#	Fulham
A_Ercetin	29	tur	12	2	4	4	12	291	76	126	116	#	GalatasaraySK
T_Ujfalusi	34	cze	2	14	10	9	10	66	732	442	392	#	GalatasaraySK
C_Birinci	26	tur	2	12	11	8	11	66	396	331	238	#	GalatasaraySK
D_Drogba	34	ivo	2	9	14	18	15	66	375	564	945	#	GalatasaraySK
C_K_Richards	25	tur	2	8	12	13	12	66	261	393	421	#	GalatasaraySK
T_Joneleit	25	ger	2	11	10	6	12	60	400	315	180	#	KRCGenk
B_Kumordzi	27	gha	2	10	12	7	13	60	320	405	300	#	KRCGenk
E_Barda	30	isl	2	6	11	13	11	60	155	412	635	#	KRCGenk
J_Drobny	32	cze	14	3	5	3	7	355	70	130	85	#	HSVHamburg
J_Sternberg	19	ger	2	11	10	8	10	60	310	275	195	#	HSVHamburg*
T_Rincon	24	ven	2	11	14	8	13	60	390	485	359	#	HSVHamburg
Z_Lam	20	ger	2	10	12	5	11	60	295	300	245	#	HSVHamburg*
J_Sala	20	ita	2	9	12	10	14	60	230	345	255	#	HSVHamburg*
H_Son	19	kor	2	7	11	13	10	50	235	335	553	#	HSVHamburg*
S_Olofinjana	32	nig	2	10	11	7	13	86	323	373	258	#	HullCity
A_Fathy	27	egy	2	10	11	7	13	86	318	373	253	#	HullCity
J_Devitt	23	ire	2	7	11	8	17	86	258	363	278	#	HullCity
A_McLean	30	eng	2	6	10	12	16	76	243	421	583	#	HullCity
Gedo	27	egy	2	7	10	12	11	86	293	333	459	#	HullCity
W_Samuel	34	arg	2	16	13	4	15	68	771	486	170	#	FCInterMilan
F_Guarin	25	col	2	10	16	11	11	68	312	547	442	#	FCInterMilan
M_Kovacic	19	cro	3	10	15	10	6	68	280	438	293	#	FCInterMilan
J_Obi	20	nig	2	10	14	10	14	68	334	401	259	#	FCInterMilan*
T_Rocchi	35	ita	2	8	10	14	13	68	288	295	461	#	FCInterMilan
A_Drury	28	eng	2	8	11	7	17	86	296	441	283	#	IpswichTown
J_Greening	34	eng	2	9	11	7	13	86	368	420	317	#	IpswichTown
M_Chopra	28	eng	2	7	10	13	11	86	262	331	505	#	IpswichTown
A_Pirlo	33	ita	2	11	16	11	15	68	524	686	432	#	Juventus
S_Pepe	29	ita	2	8	14	12	14	68	235	400	350	#	Juventus
K_Asamoah	24	gha	3	12	14	10	15	68	355	400	250	#	Juventus*
L_Marrone	23	ita	2	12	14	8	11	68	330	385	215	#	Juventus*
N_Anelka	34	fra	2	7	10	14	11	58	160	312	509	#	Juventus
S_Beltrame	20	ita	2	7	10	13	10	58	160	265	350	#	Juventus*
M_Stankvicus	30	lit	2	14	11	9	12	60	491	377	191	#	Lazio
B_Pereirinha	24	por	2	11	13	9	12	60	250	345	255	#	Lazio*
O_Onazi	19	nig	2	10	13	10	11	60	280	360	275	#	Lazio*
A_Rozzi	18	ita	2	6	10	12	11	60	140	265	275	#	Lazio*
L_Saha	33	fra	2	7	10	14	10	50	245	347	650	#	Lazio
P_Kisnorbo	31	nzl	2	11	10	8	14	86	443	333	262	#	LeedsUnited
L_Bromby	32	eng	2	11	10	8	13	86	412	323	275	#	LeedsUnited
C_Taylor	20	eng	2	10	9	6	12	86	308	293	208	#	LeedsUnited*
P_Connolly	30	eng	2	11	9	8	11	86	368	288	243	#	LeedsUnited
L_Turner	19	eng	2	10	9	7	11	60	285	255	210	#	LeedsUnited*
R_Killock	18	eng	2	11	10	5	13	60	320	280	150	#	LeedsUnited*
M_Brown	35	eng	2	9	11	7	13	86	308	414	255	#	LeedsUnited
M_Tonge	29	eng	2	9	11	7	7	86	327	426	248	#	LeedsUnited
D_Poleon	18	eng	2	6	9	11	10	86	203	279	357	#	LeedsUnited*
D_Somma	27	saf	2	7	10	12	11	86	263	339	417	#	LeedsUnited
T_Jodlowiec	28	pol	2	12	9	9	13	64	636	402	265	#	LegiaWarsaw
I_Vrdoljak	29	cro	2	10	12	8	12	64	458	564	301	#	LegiaWarsaw
J_Gol	27	pol	2	10	11	9	14	64	257	292	227	#	LegiaWarsaw
M_Efir	21	pol	2	6	9	10	11	64	162	242	267	#	LegiaWarsaw*
N_Danns	29	eng	2	10	11	7	13	86	338	393	265	#	LeicesterCity
L_Dyer	29	eng	2	7	11	9	10	86	258	363	320	#	LeicesterCity
J_Schlupp	19	gha	2	6	9	12	13	86	238	338	460	#	LeicesterCity*
T_Hopper	18	eng	2	6	9	10	14	86	203	273	338	#	LeicesterCity*
C_Wood	20	nzl	2	6	10	13	12	76	223	374	492	#	LeicesterCity*
M_Kadlec	27	cze	2	14	11	7	13	60	572	487	232	#	FCBayerLeverkusen
K_Bellerabi	22	ger	2	8	13	10	12	60	187	369	252	#	FCBayerLeverkusen*
A_Milik	18	pol	2	7	10	12	11	60	240	360	569	#	FCBayerLeverkusen*
O_Aydin	18	ger	2	5	11	12	13	60	130	345	419	#	FCBayerLeverkusen*
L_Cisse	18	bel	2	10	9	8	8	60	280	205	185	#	RoyalStandardde
L_Nego	21	fra	2	10	9	8	12	60	280	215	175	#	RoyalStandardde
K_Nagai	23	jap	2	6	10	12	10	60	177	319	571	#	RoyalStandardde
K_Ono	19	jap	2	6	9	11	13	60	130	205	310	#	RoyalStandardde
D_Sidibe	19	fra	2	11	10	8	12	60	370	295	195	#	OSCLille
A_Chedjou	27	cam	2	16	12	5	12	60	597	467	168	#	OSCLille
J_Michel	20	fra	2	10	11	7	11	60	275	345	215	#	OSCLille
D_Origi	17	bel	2	4	8	10	12	60	140	200	225	#	OSCLille
B_Kone	24	bur	2	14	11	8	9	66	605	452	293	#	OlympiqueLyonnais
A_Reveillere	32	fra	2	14	12	4	14	66	731	589	218	#	OlympiqueLyonnais
M_Zeffane	20	fra	2	11	10	8	13	66	301	236	181	#	OlympiqueLyonnais*
Michel_Bastos	29	bra	2	13	16	9	12	66	490	632	488	#	OlympiqueLyonnais
J_Ferri	20	fra	2	9	12	9	8	66	281	331	271	#	OlympiqueLyonnais*
R_Ghezzal	20	fra	2	7	11	10	10	66	196	311	251	#	OlympiqueLyonnais*
S_Kone	20	mal	2	10	11	6	9	66	271	311	166	#	OlympiqueLyonnais*
S_Malbranque	32	fra	2	10	14	9	15	66	311	424	280	#	OlympiqueLyonnais
Y_Benzia	17	fra	2	6	10	11	12	56	156	311	368	#	OlympiqueLyonnais*
A_Plea	19	fra	2	5	10	11	9	66	116	276	354	#	OlympiqueLyonnais*
H_Novillo	20	fra	2	5	10	11	11	66	141	286	341	#	OlympiqueLyonnais*
R_Peretz	21	isl	2	10	9	8	11	64	267	217	202	#	MaccabiTelAviv
A_Adan	26	spa	14	2	4	6	10	345	109	174	124	#	RealMadrid*
Jesus	24	spa	12	2	4	4	14	305	84	134	124	#	RealMadrid*
N_Fernandez	22	spa	2	14	10	7	13	70	398	325	228	#	RealMadrid*
D_Llorente	19	spa	2	11	10	8	10	70	309	244	189	#	RealMadrid*
Kaka	31	bra	2	9	16	12	15	70	374	739	502	#	RealMadrid
M_Ozil	24	ger	2	9	16	13	12	70	282	632	463	#	RealMadrid
A_Fernandez	20	spa	2	9	13	9	8	70	289	371	283	#	RealMadrid*
J_Rodriguez	18	spa	2	9	13	9	8	70	289	360	278	#	RealMadrid*
O_Mascarell	20	spa	2	10	12	9	12	70	279	339	269	#	RealMadrid*
D_Cheryshev	22	rus	2	6	10	12	8	60	179	289	393	#	RealMadrid*
F_Stenstrom	21	swe	2	10	9	8	11	64	272	222	230	#	MalmoFF
T_Malm	21	swe	2	10	9	8	11	64	277	227	202	#	MalmoFF
P_Konate	18	swe	2	10	9	8	14	64	277	232	207	#	MalmoFF*
A_Blomqvist	18	swe	2	10	9	8	13	64	277	222	207	#	MalmoFF*
J_Sudic	21	swe	2	10	9	8	12	64	277	227	207	#	MalmoFF
E_Friberg	26	swe	2	10	12	8	13	64	448	501	275	#	MalmoFF
A_Nezari	19	swe	2	10	11	8	13	64	291	395	221	#	MalmoFF*
E_Forsberg	20	swe	2	10	11	9	10	64	342	390	273	#	MalmoFF*
G_Andonian	17	fra	2	11	10	8	13	66	301	236	181	#	OlympiqueMarseille*
B_Aloe	18	fra	2	11	10	8	11	66	311	236	181	#	OlympiqueMarseille*
L_Abergel	19	fra	2	11	10	8	13	66	301	241	191	#	OlympiqueMarseille*
N_N'Koulou	22	cam	2	16	12	4	13	66	798	560	149	#	OlympiqueMarseille
M_Valbuena	27	fra	2	10	16	14	11	66	419	721	635	#	OlympiqueMarseille
R_Abdullah	18	fra	2	10	12	8	13	66	326	396	198	#	OlympiqueMarseille*
A_N'Doumbou	21	gab	2	8	11	10	12	66	206	301	236	#	OlympiqueMarseille
K_Osei	21	fra	2	10	11	9	10	66	276	301	226	#	OlympiqueMarseille
P_M'Bow	25	sen	2	10	11	9	10	66	276	301	226	#	OlympiqueMarseille
L_Azouni	18	fra	2	9	11	10	14	66	226	301	236	#	OlympiqueMarseille*
M_Bangoura	18	sen	2	10	11	7	10	66	276	301	186	#	OlympiqueMarseille*
J_Santiago	19	fra	2	7	11	10	10	66	196	311	251	#	OlympiqueMarseille*
B_Omrani	19	fra	2	6	10	11	9	66	196	271	311	#	OlympiqueMarseille*
A_Anani	17	tog	2	6	9	11	13	66	166	236	296	#	OlympiqueMarseille*
O_Andrievsky	18	ukr	2	10	11	8	11	60	265	280	215	#	MetarlistKharkiv
R_Gegedosh	19	ukr	2	6	9	12	11	60	130	215	342	#	MetarlistKharkiv
J_Smith	28	eng	2	11	10	6	10	86	452	412	226	#	Millwall
K_Osbourne	24	eng	2	11	10	8	12	86	420	404	269	#	Millwall
J_Goodman	19	eng	2	11	9	5	10	60	320	240	150	#	Millwall
J_Goodman	19	eng	2	11	9	5	10	60	320	240	150	#	Millwall*
F_Onyedinma	17	eng	2	10	11	7	11	60	240	285	185	#	Millwall*
A_Keogh	26	ire	2	7	10	12	11	86	285	341	531	#	Millwall
Jesus_Gamez	27	spa	2	14	11	8	13	60	502	375	319	#	Malaga
Jurado	22	spa	2	10	9	6	11	60	290	255	175	#	Malaga
D_Rodriguez	21	uru	2	10	9	7	13	60	290	255	185	#	Malaga
L_Piazon	18	bra	2	10	13	10	12	60	260	335	285	#	Malaga*
Portillo	23	spa	2	9	13	12	12	60	200	365	275	#	Malaga
S_Castillej	17	spa	2	9	11	9	11	60	255	240	245	#	Malaga*
S_Dardar	18	spa	2	10	11	6	10	60	295	305	135	#	Malaga*
Cala	22	spa	2	8	12	10	14	60	190	335	215	#	Malaga
Oscar_Sieva	20	spa	2	9	12	10	11	60	255	240	245	#	Malaga*
P_Morales	27	chi	2	6	11	13	14	60	165	320	442	#	Malaga
M_Simonsen	23	nor	2	10	9	8	11	60	280	205	185	#	FKMolde
I_E_Furu	18	nor	2	10	9	8	10	60	280	205	185	#	FKMolde*
V_Johansen	18	nor	2	10	9	7	12	60	280	205	155	#	FKMolde*
Z_Tripic	19	bos	2	8	11	10	14	60	220	325	215	#	FKMolde*
A_Coly	19	sen	2	6	9	11	10	60	177	319	477	#	FKMolde*
T_Dingome	21	fra	2	12	10	6	13	60	372	369	176	#	ASMonaco
D_Appiah	20	fra	2	10	11	5	11	60	265	280	145	#	ASMonaco
E_Salli	19	cam	2	9	11	10	14	60	230	335	240	#	ASMonaco*
V_Germain	22	fra	2	6	8	11	10	60	115	195	207	#	ASMonaco
T_Makengo	20	fra	2	5	9	11	11	60	95	215	200	#	ASMonaco
I_Toure	26	sen	2	7	11	14	12	60	232	367	580	#	ASMonaco
G_Grava	35	ita	2	13	10	8	13	60	390	270	190	#	SSCNapoli
G_Mesto	30	ita	2	14	11	5	10	60	470	310	162	#	SSCNapoli
K_Manolas	21	gre	2	14	10	6	11	64	818	459	270	#	Olympiakos
P_Contreras	33	chi	2	14	10	6	13	64	712	461	321	#	Olympiakos
J_Boumsong	32	fra	2	14	10	9	13	64	660	435	334	#	Panathinaikos
S_Fourlanos	18	gre	2	10	12	9	10	64	252	364	193	#	Panathinaikos
Jokin_Esparza	24	spa	2	10	11	9	12	64	267	292	222	#	Panathinaikos
A_Lagos	20	gre	2	8	11	10	12	64	202	297	232	#	Panathinaikos*
B_Fornaroli	24	uru	2	6	10	11	15	64	162	287	347	#	Panathinaikos
T_Dinas	22	gre	2	6	9	11	13	64	162	242	342	#	Panathinaikos
E_Kace	18	alb	2	9	12	10	8	60	230	345	227	#	PAOK*
S_Kitsiou	18	gre	2	10	11	8	9	60	265	280	215	#	PAOK*
D_Popovic	17	gre	2	9	12	10	12	60	230	335	220	#	PAOK*
D_Pelkas	18	gre	2	6	11	10	10	60	155	285	230	#	PAOK*
A_Camara	22	gui	2	6	10	12	14	60	105	284	358	#	PAOK
N_Petrovic	24	ser	12	2	4	4	11	289	72	122	112	#	PartizanBelgrade
C_Jallet	29	fra	2	15	12	7	9	56	506	426	203	#	ParisSaintGermain
